ID	토큰	빈도
365	들어서/VV	1
366	아직/MAG	1
367	모양/NNG	1
368	마루/NNG	1
369	끝/NNG	1
370	걸터앉/VV	1
371	신/NNG	1
372	벗/VV-R	1
373	으며/EC	1
374	소리치/VV	1
375	"/SSO	1
376	……/SE	1
377	"/SSC	1
378	아무/MM	1
379	대답/NNG	1
380	감/VV	1
381	깊이/MAG	1
382	잠/NNG	1
383	나/EC	1
384	어깨/NNG	1
385	잡/VV-R	1
386	흔들/VV	1
387	꿈쩍/MAG	1
388	식/VV	1
389	코/NNG	1
390	밑/NNG	1
391	만지/VV	1
392	숨/NNG	1
393	죽/VV	1
394	결혼/NNG	1
395	준비/NNG	1
396	보내/VV	1
397	뿐/NNB	1
398	소/NNG	1
399	풀/NNG	1
400	베/VV	1
401	긷/VV-I	1
402	이런/MM	1
403	삼/NR	1
404	동안/NNG	1
405	이나/JX	1
406	시집보내/VV	1
407	농사일/NNG	1
408	이대로/MAG	1
409	안/MAG	1
410	따지/VV	1
411	버리/VX	1
412	며칠/NNG	1
413	후/NNG	1
414	이제/MAG	1
415	참/VV	1
416	데리/VV	1
417	밝/VA	1
418	고향/NNG	1
419	기차/NNG	1
420	타/VV	1
421	십/NR	1
422	차창/NNG	1
423	밖/NNG	1
424	보이/VV	1
425	풍경/NNG	1
426	역/NNG	1
427	걸어가/VV	1
428	그대로/MAG	1
429	모두/MAG	1
430	바뀌/VV	1
431	이미/MAG	1
432	시/EP	1
433	반가워하/VV	1
434	악수/NNG	1
435	나누/VV	1
436	앉/VV	1
437	창밖/NNG	1
438	별/NNG	1
439	길/VA	1
440	내쉬/VV	1
441	달밤/NNG	1
442	어둠/NNG	1
443	속/NNG	1
444	메밀/NNG	1
445	꽃/NNG	1
446	나귀/NNG	1
447	끌/VV	1
448	장터/NNG	1
449	여인/NNG	1
450	이름/NNG	1
451	성서/NNP	1
452	댁/XSN	1
453	지금/NNG	1
454	어디/NP	1
455	아들/NNG	1
456	ᆯ지/EC	1
457	닮/VV	1
458	구석/NNG	1
459	확신/NNG	1
460	메밀꽃/NNG	1
461	피/VV	1
462	굶주리/VV	1
463	배/NNG	1
464	곯/VV	1
465	남편/NNG	1
466	주/VV	1
467	따라가/VV	1
468	얻/VV-R	1
469	기뻐하/VV	1
470	눈물/NNG	1
471	흘리/VV	1
472	무너지/VV	1
473	개울가/NNG	1
474	순간/NNG	1
475	끌리/VV	1
476	수줍/VA-R	1
477	갑자기/MAG	1
478	소나기/NNG	1
479	쏟아지/VV	1
480	원두막/NNG	1
481	뛰어가/VV	1
482	피하/VV	1
483	시간/NNG	1
484	아프/VA	1
485	병/NNG	1
486	찾아가/VV	1
487	세상/NNG	1
488	무덤/NNG	1
489	생각나/VV	1
490	자리/NNG	1
491	좋아하/VV	1
492	놀리/VV	1
493	대/VX	1
494	가져오/VV	1
495	척/NNB	1
496	던지/VV	1
497	이마/NNG	1
498	맞/VV	1
499	도망치/VV	1
500	뒤쫓/VV	1
501	뒤/NNG	1
502	숨/VV	1
503	웃음/NNG	1
504	동백꽃/NNG	1
505	뚝/MAG	1
506	떨어지/VV	1
507	어리/VA	1
508	단/MM	1
509	일찍/MAG	1
510	돌아가시/VV	1
511	사랑방/NNG	1
512	선생/NNG	1
513	그분/NP	1
514	정성껏/MAG	1
515	음식/NNG	1
516	차리/VV	1
517	그것/NP	1
518	예전/NNG	1
519	달라지/VV	1
520	단장/NNG	1
521	따르/VV	1
522	여학교/NNG	1
523	엄격/XR	1
524	두려워하/VV	1
525	러브레터/NNG	1
526	발견/NNG	1
527	남학생/NNG	1
528	에게서/JKB	1
529	크/VA	1
530	심하/VA	1
531	꾸짖/VV	1
532	과거/NNG	1
533	주고받/VV-R	1
534	헤어지/VV	1
535	용서/NNG	1
536	죄/NNG	1
537	집안/NNG	1
538	딸/NNG	1
539	술주정뱅이/NNG	1
540	오빠/NNG	1
541	무능/NNG	1
542	부잣집/NNG	1
543	첩/NNG	1
544	자존심/NNG	1
545	버리/VV	1
546	희생/NNG	1
547	세월/NNG	1
548	지치/VV	1
549	행복/NNG	1
550	삶/NNG	1
551	탁류/NNP	1
552	처럼/JKB	1
553	흘러가/VV	1
554	강/NNG	1
555	탁하/VA	1
556	실업자/NNG	1
557	대학/NNG	1
558	일자리/NNG	1
559	구직/NNG	1
560	광고/NNG	1
561	번번이/MAG	1
562	실패/NNG	1
563	성공/NNG	1
564	직장/NNG	1
565	다니/VV	1
566	초라/XR	1
567	한심/XR	1
568	느끼/VV	1
569	결심/NNG	1
570	남/NNG	1
571	작/VA	1
572	라도/EC	1
573	레디/NNG	1
574	메이드/NNG	1
575	스스로/MAG	1
576	만들/VV	1
577	마다/JX	1
578	외출/NNG	1
579	는지/EC	1
580	알/VV	1
581	아무것/NNG	1
582	종일/NNG	1
583	나가/VV	1
584	움직이/VV	1
585	다르/VA	1
586	으면/EC	1
587	다면/EC	1
588	날아가/VV	1
589	이곳/NP	1
590	벗어나/VV	1
